2023-12-21 18:33:27,655 INFO    MainThread:37013 [wandb_setup.py:_flush():68] Configure stats pid to 37013
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/.config/wandb/settings
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_setup.py:_flush():68] Loading settings from /home/paperspace/Documents/dogs_cats/notebooks/wandb/settings
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_init.py:_log_setup():476] Logging user logs to /home/paperspace/Documents/dogs_cats/notebooks/wandb/run-20231221_183327-3iztawws/logs/debug.log
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_init.py:_log_setup():477] Logging internal logs to /home/paperspace/Documents/dogs_cats/notebooks/wandb/run-20231221_183327-3iztawws/logs/debug-internal.log
2023-12-21 18:33:27,656 INFO    MainThread:37013 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f3c30b1cca0>
2023-12-21 18:33:27,657 INFO    MainThread:37013 [wandb_init.py:init():516] calling init triggers
2023-12-21 18:33:27,657 INFO    MainThread:37013 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-12-21 18:33:27,657 INFO    MainThread:37013 [wandb_init.py:init():569] starting backend
2023-12-21 18:33:27,657 INFO    MainThread:37013 [wandb_init.py:init():573] setting up manager
2023-12-21 18:33:27,659 INFO    MainThread:37013 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-21 18:33:27,661 INFO    MainThread:37013 [wandb_init.py:init():580] backend started and connected
2023-12-21 18:33:27,670 INFO    MainThread:37013 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2023-12-21 18:33:27,670 INFO    MainThread:37013 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-12-21 18:33:27,670 INFO    MainThread:37013 [wandb_init.py:init():658] updated telemetry
2023-12-21 18:33:27,717 INFO    MainThread:37013 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-12-21 18:33:28,050 INFO    MainThread:37013 [wandb_run.py:_on_init():2000] communicating current version
2023-12-21 18:33:28,114 INFO    MainThread:37013 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-21 18:33:28,114 INFO    MainThread:37013 [wandb_init.py:init():728] starting run threads in backend
2023-12-21 18:33:28,496 INFO    MainThread:37013 [wandb_run.py:_console_start():1980] atexit reg
2023-12-21 18:33:28,496 INFO    MainThread:37013 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-12-21 18:33:28,496 INFO    MainThread:37013 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-12-21 18:33:28,497 INFO    MainThread:37013 [wandb_run.py:_redirect():1925] Redirects installed.
2023-12-21 18:33:28,497 INFO    MainThread:37013 [wandb_init.py:init():765] run started, returning control to user process
2023-12-21 18:39:39,205 INFO    MainThread:37013 [wandb_init.py:_pause_backend():389] pausing backend
2023-12-21 18:39:39,206 INFO    MainThread:37013 [jupyter.py:save_ipynb():378] not saving jupyter notebook
